DATE,STATE_CD,PREDICTION
2020-08-17,CH,12.0
2020-08-18,CH,9.0
2020-08-19,CH,12.0
2020-07-31,CT,152.0
2020-08-01,CT,144.0
2020-08-02,CT,152.0
2020-08-03,CT,156.0
2020-08-04,CT,150.0
2020-08-05,CT,152.0
2020-08-06,CT,160.0
2020-08-07,CT,166.0
2020-08-08,CT,157.0
2020-08-09,CT,166.0
2020-08-10,CT,170.0
2020-08-11,CT,163.0
2020-08-12,CT,165.0
2020-08-13,CT,174.0
2020-08-14,CT,179.0
2020-08-15,CT,171.0
2020-08-16,CT,179.0
2020-08-17,CT,183.0
2020-08-18,CT,177.0
2020-08-19,CT,179.0
2020-07-31,DD,0.0
2020-08-01,DD,0.0
2020-08-02,DD,0.0
2020-08-03,DD,0.0
2020-08-04,DD,0.0
2020-08-05,DD,0.0
2020-08-06,DD,0.0
2020-08-07,DD,0.0
2020-08-08,DD,0.0
2020-08-09,DD,0.0
2020-08-10,DD,0.0
2020-08-11,DD,0.0
2020-08-12,DD,0.0
2020-08-13,DD,0.0
2020-08-14,DD,0.0
2020-08-15,DD,0.0
2020-08-16,DD,0.0
2020-08-17,DD,0.0
2020-08-18,DD,0.0
2020-08-19,DD,0.0
2020-07-31,DL,2612.0
2020-08-01,DL,2997.0
2020-08-02,DL,2685.0
2020-08-03,DL,2596.0
2020-08-04,DL,2629.0
2020-08-05,DL,2740.0
2020-08-06,DL,3014.0
2020-08-07,DL,2802.0
2020-08-08,DL,3186.0
2020-08-09,DL,2875.0
2020-08-10,DL,2786.0
2020-08-11,DL,2818.0
2020-08-12,DL,2930.0
2020-08-13,DL,3204.0
2020-08-14,DL,2991.0
2020-08-15,DL,3376.0
2020-08-16,DL,3065.0
2020-08-17,DL,2976.0
2020-08-18,DL,3008.0
2020-08-19,DL,3120.0
2020-07-31,GA,158.0
2020-08-01,GA,159.0
2020-08-02,GA,170.0
2020-08-03,GA,166.0
2020-08-04,GA,169.0
2020-08-05,GA,170.0
2020-08-06,GA,175.0
2020-08-07,GA,181.0
2020-08-08,GA,182.0
2020-08-09,GA,193.0
2020-08-10,GA,189.0
2020-08-11,GA,191.0
2020-08-12,GA,193.0
2020-08-13,GA,198.0
2020-08-14,GA,204.0
2020-08-15,GA,204.0
2020-08-16,GA,215.0
2020-08-17,GA,212.0
2020-08-18,GA,214.0
2020-08-19,GA,216.0
2020-07-31,GJ,757.0
2020-08-01,GJ,785.0
2020-08-02,GJ,795.0
2020-08-03,GJ,803.0
2020-08-04,GJ,842.0
2020-08-05,GJ,787.0
2020-08-06,GJ,793.0
2020-08-07,GJ,800.0
2020-08-08,GJ,828.0
2020-08-09,GJ,838.0
2020-08-10,GJ,846.0
2020-08-11,GJ,886.0
2020-08-12,GJ,830.0
2020-08-13,GJ,835.0
2020-08-14,GJ,844.0
2020-08-15,GJ,872.0
2020-08-16,GJ,882.0
2020-08-17,GJ,889.0
2020-08-18,GJ,928.0
2020-08-19,GJ,873.0
2020-07-31,HR,737.0
2020-08-01,HR,736.0
2020-08-02,HR,756.0
2020-08-03,HR,769.0
2020-08-04,HR,748.0
2020-08-05,HR,782.0
2020-08-06,HR,776.0
2020-08-07,HR,805.0
2020-08-08,HR,805.0
2020-08-09,HR,824.0
2020-08-10,HR,837.0
2020-08-11,HR,817.0
2020-08-12,HR,851.0
2020-08-13,HR,845.0
2020-08-14,HR,874.0
2020-08-15,HR,873.0
2020-08-16,HR,893.0
2020-08-17,HR,906.0
2020-08-18,HR,886.0
2020-08-19,HR,919.0
2020-07-31,HP,27.0
2020-08-01,HP,26.0
2020-08-02,HP,27.0
2020-08-03,HP,24.0
2020-08-04,HP,24.0
2020-08-05,HP,29.0
2020-08-06,HP,26.0
2020-08-07,HP,28.0
2020-08-08,HP,28.0
2020-08-09,HP,28.0
2020-08-10,HP,26.0
2020-08-11,HP,26.0
2020-08-12,HP,31.0
2020-08-13,HP,27.0
2020-08-14,HP,30.0
2020-08-15,HP,30.0
2020-08-16,HP,30.0
2020-08-17,HP,28.0
2020-08-18,HP,28.0
2020-08-19,HP,32.0
2020-07-31,JK,255.0
2020-08-01,JK,272.0
2020-08-02,JK,275.0
2020-08-03,JK,289.0
2020-08-04,JK,257.0
2020-08-05,JK,261.0
2020-08-06,JK,257.0
2020-08-07,JK,275.0
2020-08-08,JK,293.0
2020-08-09,JK,295.0
2020-08-10,JK,309.0
2020-08-11,JK,277.0
2020-08-12,JK,281.0
2020-08-13,JK,277.0
2020-08-14,JK,295.0
2020-08-15,JK,314.0
2020-08-16,JK,315.0
2020-08-17,JK,329.0
2020-08-18,JK,297.0
2020-08-19,JK,301.0
2020-07-31,JH,90.0
2020-08-01,JH,99.0
2020-08-02,JH,88.0
2020-08-03,JH,92.0
2020-08-04,JH,91.0
2020-08-05,JH,87.0
2020-08-06,JH,94.0
2020-08-07,JH,96.0
2020-08-08,JH,105.0
2020-08-09,JH,94.0
2020-08-10,JH,99.0
2020-08-11,JH,98.0
2020-08-12,JH,94.0
2020-08-13,JH,101.0
2020-08-14,JH,103.0
2020-08-15,JH,112.0
2020-08-16,JH,101.0
2020-08-17,JH,105.0
2020-08-18,JH,104.0
2020-08-19,JH,100.0
2020-07-31,KA,2074.0
2020-08-01,KA,2123.0
2020-08-02,KA,2161.0
2020-08-03,KA,2153.0
2020-08-04,KA,2256.0
2020-08-05,KA,2303.0
2020-08-06,KA,2388.0
2020-08-07,KA,2436.0
2020-08-08,KA,2486.0
2020-08-09,KA,2523.0
2020-08-10,KA,2516.0
2020-08-11,KA,2618.0
2020-08-12,KA,2666.0
2020-08-13,KA,2751.0
2020-08-14,KA,2798.0
2020-08-15,KA,2848.0
2020-08-16,KA,2885.0
2020-08-17,KA,2878.0
2020-08-18,KA,2980.0
2020-08-19,KA,3028.0
2020-07-31,KL,446.0
2020-08-01,KL,463.0
2020-08-02,KL,443.0
2020-08-03,KL,464.0
2020-08-04,KL,446.0
2020-08-05,KL,459.0
2020-08-06,KL,484.0
2020-08-07,KL,509.0
2020-08-08,KL,526.0
2020-08-09,KL,506.0
2020-08-10,KL,527.0
2020-08-11,KL,510.0
2020-08-12,KL,522.0
2020-08-13,KL,547.0
2020-08-14,KL,572.0
2020-08-15,KL,589.0
2020-08-16,KL,570.0
2020-08-17,KL,590.0
2020-08-18,KL,573.0
2020-08-19,KL,585.0
2020-07-31,LA,23.0
2020-08-01,LA,25.0
2020-08-02,LA,18.0
2020-08-03,LA,19.0
2020-08-04,LA,18.0
2020-08-05,LA,27.0
2020-08-06,LA,23.0
2020-08-07,LA,24.0
2020-08-08,LA,26.0
2020-08-09,LA,20.0
2020-08-10,LA,20.0
2020-08-11,LA,20.0
2020-08-12,LA,28.0
2020-08-13,LA,25.0
2020-08-14,LA,25.0
2020-08-15,LA,27.0
2020-08-16,LA,21.0
2020-08-17,LA,21.0
2020-08-18,LA,21.0
2020-08-19,LA,30.0
2020-07-31,LD,0.0
2020-08-01,LD,0.0
2020-08-02,LD,0.0
2020-08-03,LD,0.0
2020-08-04,LD,0.0
2020-08-05,LD,0.0
2020-08-06,LD,0.0
2020-08-07,LD,0.0
2020-08-08,LD,0.0
2020-08-09,LD,0.0
2020-08-10,LD,0.0
2020-08-11,LD,0.0
2020-08-12,LD,0.0
2020-08-13,LD,0.0
2020-08-14,LD,0.0
2020-08-15,LD,0.0
2020-08-16,LD,0.0
2020-08-17,LD,0.0
2020-08-18,LD,0.0
2020-08-19,LD,0.0
2020-07-31,MP,428.0
2020-08-01,MP,431.0
2020-08-02,MP,457.0
2020-08-03,MP,436.0
2020-08-04,MP,452.0
2020-08-05,MP,459.0
2020-08-06,MP,443.0
2020-08-07,MP,463.0
2020-08-08,MP,466.0
2020-08-09,MP,491.0
2020-08-10,MP,472.0
2020-08-11,MP,488.0
2020-08-12,MP,495.0
2020-08-13,MP,478.0
2020-08-14,MP,498.0
2020-08-15,MP,501.0
2020-08-16,MP,527.0
2020-08-17,MP,506.0
2020-08-18,MP,522.0
2020-08-19,MP,530.0
2020-07-31,MH,6189.0
2020-08-01,MH,6166.0
2020-08-02,MH,5963.0
2020-08-03,MH,6415.0
2020-08-04,MH,6314.0
2020-08-05,MH,6284.0
2020-08-06,MH,6752.0
2020-08-07,MH,6740.0
2020-08-08,MH,6716.0
2020-08-09,MH,6514.0
2020-08-10,MH,6966.0
2020-08-11,MH,6864.0
2020-08-12,MH,6835.0
2020-08-13,MH,7303.0
2020-08-14,MH,7291.0
2020-08-15,MH,7267.0
2020-08-16,MH,7065.0
2020-08-17,MH,7516.0
2020-08-18,MH,7415.0
2020-08-19,MH,7386.0
2020-07-31,MN,42.0
2020-08-01,MN,42.0
2020-08-02,MN,44.0
2020-08-03,MN,52.0
2020-08-04,MN,48.0
2020-08-05,MN,51.0
2020-08-06,MN,46.0
2020-08-07,MN,46.0
2020-08-08,MN,46.0
2020-08-09,MN,48.0
2020-08-10,MN,56.0
2020-08-11,MN,53.0
2020-08-12,MN,55.0
2020-08-13,MN,50.0
2020-08-14,MN,50.0
2020-08-15,MN,50.0
2020-08-16,MN,52.0
2020-08-17,MN,60.0
2020-08-18,MN,57.0
2020-08-19,MN,59.0
2020-07-31,ML,6.0
2020-08-01,ML,6.0
2020-08-02,ML,8.0
2020-08-03,ML,9.0
2020-08-04,ML,7.0
2020-08-05,ML,7.0
2020-08-06,ML,7.0
2020-08-07,ML,7.0
2020-08-08,ML,7.0
2020-08-09,ML,9.0
2020-08-10,ML,9.0
2020-08-11,ML,8.0
2020-08-12,ML,8.0
2020-08-13,ML,8.0
2020-08-14,ML,8.0
2020-08-15,ML,8.0
2020-08-16,ML,10.0
2020-08-17,ML,10.0
2020-08-18,ML,9.0
2020-08-19,ML,9.0
2020-07-31,MZ,4.0
2020-08-01,MZ,4.0
2020-08-02,MZ,4.0
2020-08-03,MZ,3.0
2020-08-04,MZ,7.0
2020-08-05,MZ,4.0
2020-08-06,MZ,4.0
2020-08-07,MZ,4.0
2020-08-08,MZ,4.0
2020-08-09,MZ,4.0
2020-08-10,MZ,4.0
2020-08-11,MZ,8.0
2020-08-12,MZ,4.0
2020-08-13,MZ,4.0
2020-08-14,MZ,5.0
2020-08-15,MZ,5.0
2020-08-16,MZ,4.0
2020-08-17,MZ,4.0
2020-08-18,MZ,8.0
2020-08-19,MZ,5.0
2020-07-31,NL,14.0
2020-08-01,NL,14.0
2020-08-02,NL,12.0
2020-08-03,NL,14.0
2020-08-04,NL,15.0
2020-08-05,NL,12.0
2020-08-06,NL,17.0
2020-08-07,NL,15.0
2020-08-08,NL,15.0
2020-08-09,NL,13.0
2020-08-10,NL,15.0
2020-08-11,NL,16.0
2020-08-12,NL,13.0
2020-08-13,NL,18.0
2020-08-14,NL,16.0
2020-08-15,NL,16.0
2020-08-16,NL,14.0
2020-08-17,NL,16.0
2020-08-18,NL,17.0
2020-08-19,NL,14.0
2020-07-31,OR,718.0
2020-08-01,OR,731.0
2020-08-02,OR,744.0
2020-08-03,OR,746.0
2020-08-04,OR,758.0
2020-08-05,OR,769.0
2020-08-06,OR,780.0
2020-08-07,OR,821.0
2020-08-08,OR,834.0
2020-08-09,OR,847.0
2020-08-10,OR,849.0
2020-08-11,OR,861.0
2020-08-12,OR,873.0
2020-08-13,OR,884.0
2020-08-14,OR,924.0
2020-08-15,OR,937.0
2020-08-16,OR,951.0
2020-08-17,OR,953.0
2020-08-18,OR,965.0
2020-08-19,OR,976.0
2020-07-31,PY,81.0
2020-08-01,PY,82.0
2020-08-02,PY,87.0
2020-08-03,PY,87.0
2020-08-04,PY,85.0
2020-08-05,PY,90.0
2020-08-06,PY,88.0
2020-08-07,PY,93.0
2020-08-08,PY,94.0
2020-08-09,PY,99.0
2020-08-10,PY,98.0
2020-08-11,PY,97.0
2020-08-12,PY,102.0
2020-08-13,PY,100.0
2020-08-14,PY,105.0
2020-08-15,PY,105.0
2020-08-16,PY,110.0
2020-08-17,PY,110.0
2020-08-18,PY,109.0
2020-08-19,PY,113.0
2020-07-31,PB,182.0
2020-08-01,PB,221.0
2020-08-02,PB,217.0
2020-08-03,PB,233.0
2020-08-04,PB,197.0
2020-08-05,PB,214.0
2020-08-06,PB,205.0
2020-08-07,PB,197.0
2020-08-08,PB,235.0
2020-08-09,PB,231.0
2020-08-10,PB,247.0
2020-08-11,PB,212.0
2020-08-12,PB,228.0
2020-08-13,PB,220.0
2020-08-14,PB,210.0
2020-08-15,PB,249.0
2020-08-16,PB,246.0
2020-08-17,PB,262.0
2020-08-18,PB,226.0
2020-08-19,PB,243.0
2020-07-31,RJ,603.0
2020-08-01,RJ,598.0
2020-08-02,RJ,571.0
2020-08-03,RJ,607.0
2020-08-04,RJ,586.0
2020-08-05,RJ,619.0
2020-08-06,RJ,593.0
2020-08-07,RJ,649.0
2020-08-08,RJ,644.0
2020-08-09,RJ,618.0
2020-08-10,RJ,654.0
2020-08-11,RJ,633.0
2020-08-12,RJ,666.0
2020-08-13,RJ,640.0
2020-08-14,RJ,696.0
2020-08-15,RJ,691.0
2020-08-16,RJ,664.0
2020-08-17,RJ,700.0
2020-08-18,RJ,679.0
2020-08-19,RJ,712.0
2020-07-31,SK,6.0
2020-08-01,SK,5.0
2020-08-02,SK,5.0
2020-08-03,SK,6.0
2020-08-04,SK,5.0
2020-08-05,SK,6.0
2020-08-06,SK,5.0
2020-08-07,SK,7.0
2020-08-08,SK,6.0
2020-08-09,SK,6.0
2020-08-10,SK,7.0
2020-08-11,SK,6.0
2020-08-12,SK,6.0
2020-08-13,SK,6.0
2020-08-14,SK,7.0
2020-08-15,SK,6.0
2020-08-16,SK,6.0
2020-08-17,SK,7.0
2020-08-18,SK,6.0
2020-08-19,SK,7.0
2020-07-31,TN,6178.0
2020-08-01,TN,6304.0
2020-08-02,TN,6260.0
2020-08-03,TN,6338.0
2020-08-04,TN,6669.0
2020-08-05,TN,6790.0
2020-08-06,TN,6920.0
2020-08-07,TN,6992.0
2020-08-08,TN,7117.0
2020-08-09,TN,7073.0
2020-08-10,TN,7151.0
2020-08-11,TN,7482.0
2020-08-12,TN,7603.0
2020-08-13,TN,7734.0
2020-08-14,TN,7805.0
2020-08-15,TN,7930.0
2020-08-16,TN,7886.0
2020-08-17,TN,7965.0
2020-08-18,TN,8295.0
2020-08-19,TN,8416.0
2020-07-31,TG,1435.0
2020-08-01,TG,1526.0
2020-08-02,TG,1468.0
2020-08-03,TG,1586.0
2020-08-04,TG,1669.0
2020-08-05,TG,1552.0
2020-08-06,TG,1626.0
2020-08-07,TG,1601.0
2020-08-08,TG,1693.0
2020-08-09,TG,1635.0
2020-08-10,TG,1752.0
2020-08-11,TG,1836.0
2020-08-12,TG,1719.0
2020-08-13,TG,1794.0
2020-08-14,TG,1769.0
2020-08-15,TG,1861.0
2020-08-16,TG,1802.0
2020-08-17,TG,1920.0
2020-08-18,TG,2003.0
2020-08-19,TG,1886.0
2020-07-31,TR,51.0
2020-08-01,TR,51.0
2020-08-02,TR,63.0
2020-08-03,TR,54.0
2020-08-04,TR,59.0
2020-08-05,TR,62.0
2020-08-06,TR,64.0
2020-08-07,TR,55.0
2020-08-08,TR,55.0
2020-08-09,TR,67.0
2020-08-10,TR,57.0
2020-08-11,TR,63.0
2020-08-12,TR,65.0
2020-08-13,TR,68.0
2020-08-14,TR,58.0
2020-08-15,TR,58.0
2020-08-16,TR,71.0
2020-08-17,TR,61.0
2020-08-18,TR,66.0
2020-08-19,TR,69.0
2020-07-31,UP,1485.0
2020-08-01,UP,1560.0
2020-08-02,UP,1567.0
2020-08-03,UP,1535.0
2020-08-04,UP,1567.0
2020-08-05,UP,1615.0
2020-08-06,UP,1699.0
2020-08-07,UP,1674.0
2020-08-08,UP,1749.0
2020-08-09,UP,1755.0
2020-08-10,UP,1724.0
2020-08-11,UP,1755.0
2020-08-12,UP,1804.0
2020-08-13,UP,1888.0
2020-08-14,UP,1862.0
2020-08-15,UP,1938.0
2020-08-16,UP,1944.0
2020-08-17,UP,1912.0
2020-08-18,UP,1944.0
2020-08-19,UP,1992.0
2020-07-31,UT,68.0
2020-08-01,UT,71.0
2020-08-02,UT,73.0
2020-08-03,UT,90.0
2020-08-04,UT,73.0
2020-08-05,UT,78.0
2020-08-06,UT,76.0
2020-08-07,UT,73.0
2020-08-08,UT,76.0
2020-08-09,UT,78.0
2020-08-10,UT,95.0
2020-08-11,UT,78.0
2020-08-12,UT,83.0
2020-08-13,UT,80.0
2020-08-14,UT,78.0
2020-08-15,UT,80.0
2020-08-16,UT,82.0
2020-08-17,UT,100.0
2020-08-18,UT,83.0
2020-08-19,UT,87.0
2020-07-31,WB,1618.0
2020-08-01,WB,1712.0
2020-08-02,WB,1745.0
2020-08-03,WB,1780.0
2020-08-04,WB,1783.0
2020-08-05,WB,1799.0
2020-08-06,WB,1852.0
2020-08-07,WB,1855.0
2020-08-08,WB,1949.0
2020-08-09,WB,1982.0
2020-08-10,WB,2017.0
2020-08-11,WB,2020.0
2020-08-12,WB,2036.0
2020-08-13,WB,2089.0
2020-08-14,WB,2092.0
2020-08-15,WB,2186.0
2020-08-16,WB,2219.0
2020-08-17,WB,2254.0
2020-08-18,WB,2257.0
2020-08-19,WB,2274.0
2020-07-31,UN,0.0
2020-08-01,UN,0.0
2020-08-02,UN,0.0
2020-08-03,UN,0.0
2020-08-04,UN,0.0
2020-08-05,UN,0.0
2020-08-06,UN,0.0
2020-08-07,UN,0.0
2020-08-08,UN,0.0
2020-08-09,UN,0.0
2020-08-10,UN,0.0
2020-08-11,UN,0.0
2020-08-12,UN,0.0
2020-08-13,UN,0.0
2020-08-14,UN,0.0
2020-08-15,UN,0.0
2020-08-16,UN,0.0
2020-08-17,UN,0.0
2020-08-18,UN,0.0
2020-08-19,UN,0.0
2020-07-31,AK,2319.0
2020-08-01,AK,2361.0
2020-08-02,AK,2411.0
2020-08-03,AK,2436.0
2020-08-04,AK,2476.0
2020-08-05,AK,2519.0
2020-08-06,AK,2559.0
2020-08-07,AK,2602.0
2020-08-08,AK,2644.0
2020-08-09,AK,2694.0
2020-08-10,AK,2719.0
2020-08-11,AK,2759.0
2020-08-12,AK,2802.0
2020-08-13,AK,2842.0
2020-08-14,AK,2885.0
2020-08-15,AK,2927.0
2020-08-16,AK,2976.0
2020-08-17,AK,3001.0
2020-08-18,AK,3042.0
2020-08-19,AK,3085.0
2020-07-31,AL,81133.0
2020-08-01,AL,82476.0
2020-08-02,AL,83752.0
2020-08-03,AL,84920.0
2020-08-04,AL,86195.0
2020-08-05,AL,87520.0
2020-08-06,AL,88960.0
2020-08-07,AL,90313.0
2020-08-08,AL,91656.0
2020-08-09,AL,92932.0
2020-08-10,AL,94100.0
2020-08-11,AL,95376.0
2020-08-12,AL,96700.0
2020-08-13,AL,98141.0
2020-08-14,AL,99493.0
2020-08-15,AL,100836.0
2020-08-16,AL,102112.0
2020-08-17,AL,103280.0
2020-08-18,AL,104556.0
2020-08-19,AL,105880.0
2020-07-31,AR,40752.0
2020-08-01,AR,41403.0
2020-08-02,AR,42025.0
2020-08-03,AR,42592.0
2020-08-04,AR,43213.0
2020-08-05,AR,43833.0
2020-08-06,AR,44521.0
2020-08-07,AR,45183.0
2020-08-08,AR,45834.0
2020-08-09,AR,46456.0
2020-08-10,AR,47024.0
2020-08-11,AR,47645.0
2020-08-12,AR,48265.0
2020-08-13,AR,48952.0
2020-08-14,AR,49615.0
2020-08-15,AR,50266.0
2020-08-16,AR,50888.0
2020-08-17,AR,51455.0
2020-08-18,AR,52076.0
2020-08-19,AR,52696.0
2020-07-31,AZ,181477.0
2020-08-01,AZ,184714.0
2020-08-02,AZ,187833.0
2020-08-03,AZ,190813.0
2020-08-04,AZ,194171.0
2020-08-05,AZ,197380.0
2020-08-06,AZ,200643.0
2020-08-07,AZ,204052.0
2020-08-08,AZ,207288.0
2020-08-09,AZ,210408.0
2020-08-10,AZ,213388.0
2020-08-11,AZ,216746.0
2020-08-12,AZ,219954.0
2020-08-13,AZ,223218.0
2020-08-14,AZ,226627.0
2020-08-15,AZ,229863.0
2020-08-16,AZ,232983.0
2020-08-17,AZ,235963.0
2020-08-18,AZ,239321.0
2020-08-19,AZ,242529.0
2020-07-31,CA,474034.0
2020-08-01,CA,481152.0
2020-08-02,CA,487881.0
2020-08-03,CA,495308.0
2020-08-04,CA,503280.0
2020-08-05,CA,511039.0
2020-08-06,CA,518881.0
2020-08-07,CA,526315.0
2020-08-08,CA,533433.0
2020-08-09,CA,540162.0
2020-08-10,CA,547589.0
2020-08-11,CA,555561.0
2020-08-12,CA,563320.0
2020-08-13,CA,571162.0
2020-08-14,CA,578596.0
2020-08-15,CA,585714.0
2020-08-16,CA,592443.0
2020-08-17,CA,599870.0
2020-08-18,CA,607842.0
2020-08-19,CA,615601.0
2020-07-31,CO,44188.0
2020-08-01,CO,44578.0
2020-08-02,CO,44896.0
2020-08-03,CO,45116.0
2020-08-04,CO,45443.0
2020-08-05,CO,45793.0
2020-08-06,CO,46211.0
2020-08-07,CO,46620.0
2020-08-08,CO,47009.0
2020-08-09,CO,47328.0
2020-08-10,CO,47547.0
2020-08-11,CO,47874.0
2020-08-12,CO,48225.0
2020-08-13,CO,48643.0
2020-08-14,CO,49051.0
2020-08-15,CO,49441.0
2020-08-16,CO,49759.0
2020-08-17,CO,49979.0
2020-08-18,CO,50306.0
2020-08-19,CO,50656.0
2020-07-31,CT,49086.0
2020-08-01,CT,49134.0
2020-08-02,CT,49127.0
2020-08-03,CT,49296.0
2020-08-04,CT,49345.0
2020-08-05,CT,49455.0
2020-08-06,CT,49536.0
2020-08-07,CT,49670.0
2020-08-08,CT,49719.0
2020-08-09,CT,49711.0
2020-08-10,CT,49881.0
2020-08-11,CT,49929.0
2020-08-12,CT,50039.0
2020-08-13,CT,50121.0
2020-08-14,CT,50255.0
2020-08-15,CT,50303.0
2020-08-16,CT,50295.0
2020-08-17,CT,50465.0
2020-08-18,CT,50513.0
2020-08-19,CT,50623.0
2020-07-31,DC,11860.0
2020-08-01,DC,11911.0
2020-08-02,DC,11957.0
2020-08-03,DC,11984.0
2020-08-04,DC,12032.0
2020-08-05,DC,12080.0
2020-08-06,DC,12137.0
2020-08-07,DC,12190.0
2020-08-08,DC,12241.0
2020-08-09,DC,12287.0
2020-08-10,DC,12314.0
2020-08-11,DC,12362.0
2020-08-12,DC,12410.0
2020-08-13,DC,12467.0
2020-08-14,DC,12519.0
2020-08-15,DC,12570.0
2020-08-16,DC,12616.0
2020-08-17,DC,12644.0
2020-08-18,DC,12692.0
2020-08-19,DC,12739.0
2020-07-31,DE,14726.0
2020-08-01,DE,14826.0
2020-08-02,DE,14924.0
2020-08-03,DE,15020.0
2020-08-04,DE,15129.0
2020-08-05,DE,15226.0
2020-08-06,DE,15317.0
2020-08-07,DE,15430.0
2020-08-08,DE,15530.0
2020-08-09,DE,15628.0
2020-08-10,DE,15724.0
2020-08-11,DE,15833.0
2020-08-12,DE,15929.0
2020-08-13,DE,16021.0
2020-08-14,DE,16133.0
2020-08-15,DE,16234.0
2020-08-16,DE,16332.0
2020-08-17,DE,16428.0
2020-08-18,DE,16537.0
2020-08-19,DE,16633.0
2020-07-31,FL,444406.0
2020-08-01,FL,453492.0
2020-08-02,FL,462574.0
2020-08-03,FL,470289.0
2020-08-04,FL,478811.0
2020-08-05,FL,487650.0
2020-08-06,FL,496800.0
2020-08-07,FL,505928.0
2020-08-08,FL,515014.0
2020-08-09,FL,524096.0
2020-08-10,FL,531811.0
2020-08-11,FL,540333.0
2020-08-12,FL,549172.0
2020-08-13,FL,558322.0
2020-08-14,FL,567450.0
2020-08-15,FL,576536.0
2020-08-16,FL,585619.0
2020-08-17,FL,593333.0
2020-08-18,FL,601855.0
2020-08-19,FL,610694.0
2020-07-31,GA,172123.0
2020-08-01,GA,174771.0
2020-08-02,GA,177285.0
2020-08-03,GA,179549.0
2020-08-04,GA,182367.0
2020-08-05,GA,185216.0
2020-08-06,GA,188124.0
2020-08-07,GA,190933.0
2020-08-08,GA,193580.0
2020-08-09,GA,196095.0
2020-08-10,GA,198358.0
2020-08-11,GA,201177.0
2020-08-12,GA,204026.0
2020-08-13,GA,206933.0
2020-08-14,GA,209742.0
2020-08-15,GA,212390.0
2020-08-16,GA,214904.0
2020-08-17,GA,217168.0
2020-08-18,GA,219986.0
2020-08-19,GA,222835.0
2020-07-31,HI,1638.0
